"Kategorie","Aufgaben","Aufwand total","Personalaufwand","Sachaufwand","Laufende Beiträge","Verrechnungen","Übriger Aufwand","Nettobelastung -Nettoertrag","Ausgaben total","Sachgüter","Darlehen Beteiligungen","Investitionsbeiträge ","Nettobelastung -Nettoertrag "
"GESUNDHEIT","Krankheitsbekämpfung",4818,1390,299,2932,198,,4328,,,,,
"GESUNDHEIT","Schulgesundheitsdienst",15986,11500,2180,45,2243,18,12078,,,,,
"GESUNDHEIT","Lebensmittelkontrolle",2069,1688,157,,203,22,1464,,,,,
"GESUNDHEIT","Gesundheitswesen Übriges",82272,52475,12708,1157,10006,5927,39554,4445,4445,,,4247
"SOZIALE WOHLFAHRT","Sozialversicherung Allgemeines",278,,,278,,,278,,,,,
"SOZIALE WOHLFAHRT","Krankenversicherung",154245,2577,275,150558,836,,29137,,,,,
"SOZIALE WOHLFAHRT","Zusatzleistungen zur AHV/IV",393014,11723,383,377959,2270,679,236536,,,,,
"SOZIALE WOHLFAHRT","Jugendschutz",78247,20811,1865,52546,3025,0,67959,1880,978,902,,1880
"SOZIALE WOHLFAHRT","Invalidität",3459,,,3459,,,2242,810,,810,,-43
"SOZIALE WOHLFAHRT","Sozialer Wohnungsbau",8215,773,18,1,5,7417,7430,6828,,984,5844,5960
"SOZIALE WOHLFAHRT","Altersheime",154099,98198,27967,1198,26614,123,20843,18513,18513,,,16806
"SOZIALE WOHLFAHRT","Fürsorge",564076,138901,33000,358640,32910,626,300765,9150,9114,36,,9144
"SOZIALE WOHLFAHRT","Hilfsaktionen",3259,,,3259,,,3259,,,,,
"VERKEHR","Staatsstrassen",65287,,,,65287,,0,22346,1185,,21160,-357
"VERKEHR","Gemeindestrassen",268682,79161,99415,109,49037,40960,118626,88045,87716,,329,65570
"VERKEHR","Privatstrassen",,,,,,,,,,,,
"VERKEHR","Bundesbahnen",,,,,,,,,,,,
"VERKEHR","Regionalverkehr",663617,269845,132614,164881,37285,58992,96500,123228,120948,,2280,123003
"VERKEHR","Schiffahrt",241,,241,,,,241,,,,,-118
"VERKEHR","Luftfahrt",,,,,,,,,,,,
"UMWELT UND RAUMORDNUNG","Wasserversorgung",119086,33091,29463,,9161,47370,516,52698,52698,,,40498
"UMWELT UND RAUMORDNUNG","Abwasserbeseitigung, Kläranlagen",137359,25945,82516,1885,5339,21675,0,28578,28578,,,27386
"UMWELT UND RAUMORDNUNG","Abfallbeseitigung, Kehrichtverbrennnungsanlagen",154133,41766,48612,280,8120,55356,0,28554,28554,,,28554
"UMWELT UND RAUMORDNUNG","Schlachthöfe",3758,,3313,,2,444,243,,,,,
"UMWELT UND RAUMORDNUNG","Friedhof und Bestattung",37267,13272,6627,47,13752,3570,16787,533,533,,,533
"UMWELT UND RAUMORDNUNG","Gewässerunterhalt und -verbauung",7,,7,,,,7,,,,,
"UMWELT UND RAUMORDNUNG","Naturschutz",8006,2743,1042,3747,222,253,7428,130,130,,,100
"UMWELT UND RAUMORDNUNG","Übriger Umweltschutz",16984,11568,2999,10,2401,5,12162,624,624,,,518
"UMWELT UND RAUMORDNUNG","Raumordnung",665,,214,448,3,,662,433,,82,351,433
"VOLKSWIRTSCHAFT","Landwirtschaft",1426,1345,33,,48,,-47,,,,,
"VOLKSWIRTSCHAFT","Forstwirtschaft",4645,2029,2359,11,45,201,2113,1894,1894,,,1894
"VOLKSWIRTSCHAFT","Jagd und Fischerei",,,,,,,,,,,,
"VOLKSWIRTSCHAFT","Tourismus, kommunale Werbung",2405,1437,415,15,538,0,2220,,,,,
"VOLKSWIRTSCHAFT","Beiträge Industrie, Gewerbe, Handel",6835,679,202,2133,,3821,-23158,,,,,
"VOLKSWIRTSCHAFT","Energieversorgung",818684,134387,486226,7702,36518,153850,-70240,170199,147278,16817,6103,166025
"VOLKSWIRTSCHAFT","Sonstige Gemeindebetriebe",11409,5199,5824,,386,,-422,3700,,3700,,3700
"FINANZEN UND STEUERN","Gemeindesteuern",42678,,,5856,,36822,-2334695,,,,,
"FINANZEN UND STEUERN","Finanzausgleich",,,,,,,,,,,,
"FINANZEN UND STEUERN","Einnahmeanteile",,,,,,,,,,,,
"FINANZEN UND STEUERN","Vermögens- und Schuldenverwaltung",459496,17596,63908,22800,151067,204125,70745,,,,,
"FINANZEN UND STEUERN","Abschreibungen, Neutrale Aufwendungen und Erträge, Abschluss",45927,,,,,45927,2039,,,,,
